DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKKV,2022-10,224,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKKV,2022-12,316,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKKV,2023-02,25,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKKV,2023-04,50,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2022-06,43273,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2022-08,64125,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2022-10,15947,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2022-12,3893,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2023-02,3294,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKMT,2023-04,10171,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2022-06,9332,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2022-08,21957,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2022-10,3091,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2022-12,198,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2023-02,2,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPD,2023-04,0,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2022-06,1156342,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2022-08,1323305,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2022-10,1004314,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2022-12,826743,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2023-02,695871,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKPR,2023-04,1052977,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKTB,2022-06,67622,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKTB,2022-08,108201,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKTB,2022-10,32282,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKTB,2022-12,6520,
